Type,Datetime,Account,Amount,Value,Rate,Fee,Sub Type
Market,"May. 06, 2018, 12:18 PM",Main Account,0.04900000 BTC,385.19 EUR,7861.00 EUR,0.97000 EUR,Buy
Market,"May. 11, 2018, 12:04 AM",Main Account,0.02765739 BTC,206.55 EUR,7468.00 EUR,0.52000 EUR,Buy
Deposit,"May. 15, 2018, 08:30 AM",Main Account,500.00 EUR,,,,
Market,"May. 16, 2018, 01:24 AM",Main Account,0.05000000 BTC,354.75 EUR,7095.00 EUR,0.89000 EUR,Buy
Market,"May. 18, 2018, 12:51 AM",Main Account,0.02159525 BTC,145.55 EUR,6740.00 EUR,0.37000 EUR,Buy
Market,"May. 19, 2018, 11:59 AM",Main Account,0.02159525 BTC,153.22 EUR,7095.00 EUR,0.39000 EUR,Sell
Market,"May. 23, 2018, 01:01 AM",Main Account,0.02237623 BTC,150.82 EUR,6740.00 EUR,0.38000 EUR,Buy
Deposit,"Jun. 13, 2018, 08:15 AM",Main Account,500.00 EUR,,,,
Market,"Jun. 13, 2018, 10:42 AM",Main Account,0.03000000 BTC,164.64 EUR,5488.00 EUR,0.42000 EUR,Buy
Market,"Jun. 14, 2018, 06:06 PM",Main Account,0.03000000 BTC,173.31 EUR,5777.00 EUR,0.44000 EUR,Sell
Market,"Jun. 16, 2018, 03:38 PM",Main Account,0.05000000 BTC,274.40 EUR,5488.00 EUR,0.69000 EUR,Buy
Market,"Jun. 18, 2018, 05:12 PM",Main Account,0.05000000 BTC,288.85 EUR,5777.00 EUR,0.73000 EUR,Sell
Market,"Jun. 21, 2018, 02:44 PM",Main Account,0.04216027 BTC,243.56 EUR,5777.00 EUR,0.61000 EUR,Buy
Market,"Jun. 22, 2018, 08:34 AM",Main Account,0.05184997 BTC,284.55 EUR,5488.00 EUR,0.72000 EUR,Buy
Market,"Jul. 04, 2018, 01:14 PM",Main Account,0.02122080 BTC,122.59 EUR,5777.00 EUR,0.31000 EUR,Sell
Market,"Jul. 04, 2018, 01:14 PM",Main Account,0.03062917 BTC,176.94 EUR,5777.00 EUR,0.45000 EUR,Sell
Market,"Jul. 10, 2018, 09:40 AM",Main Account,0.05198206 BTC,285.28 EUR,5488.00 EUR,0.72000 EUR,Buy
Market,"Jul. 17, 2018, 03:36 PM",Main Account,0.05198206 BTC,300.30 EUR,5777.00 EUR,0.76000 EUR,Sell
Market,"Jul. 17, 2018, 05:41 PM",Main Account,0.04216027 BTC,256.42 EUR,6082.00 EUR,0.65000 EUR,Sell
Market,"Jul. 24, 2018, 12:02 PM",Main Account,0.02237623 BTC,158.76 EUR,7095.00 EUR,0.40000 EUR,Sell
Market,"Jul. 27, 2018, 12:51 PM",Main Account,0.05000000 BTC,337.00 EUR,6740.00 EUR,0.85000 EUR,Buy
Market,"Jul. 27, 2018, 07:00 PM",Main Account,0.05000000 BTC,354.75 EUR,7095.00 EUR,0.89000 EUR,Sell
Market,"Jul. 30, 2018, 05:56 PM",Main Account,0.05149096 BTC,347.05 EUR,6740.00 EUR,0.87000 EUR,Buy
Market,"Aug. 01, 2018, 05:34 AM",Main Account,0.03433494 BTC,219.85 EUR,6403.00 EUR,0.55000 EUR,Buy
Market,"Aug. 01, 2018, 05:34 AM",Main Account,0.01026398 BTC,65.72 EUR,6403.00 EUR,0.17000 EUR,Buy
Market,"Aug. 04, 2018, 02:27 PM",Main Account,0.01549059 BTC,94.21 EUR,6082.00 EUR,0.24000 EUR,Buy
Deposit,"Aug. 07, 2018, 08:30 AM",Main Account,500.00 EUR,,,,
Market,"Aug. 07, 2018, 09:03 AM",Main Account,0.03650941 BTC,222.01 EUR,6080.93 EUR,0.56000 EUR,Buy
Market,"Aug. 07, 2018, 09:04 PM",Main Account,0.04807556 BTC,277.73 EUR,5777.00 EUR,0.70000 EUR,Buy
Deposit,"Aug. 24, 2018, 08:45 AM",Main Account,500.00 EUR,,,,
Market,"Aug. 25, 2018, 11:29 AM",Main Account,0.02066565 BTC,119.39 EUR,5777.00 EUR,0.30000 EUR,Buy
Market,"Aug. 25, 2018, 11:30 AM",Main Account,0.01128164 BTC,65.17 EUR,5777.00 EUR,0.17000 EUR,Buy
Market,"Aug. 28, 2018, 07:12 PM",Main Account,0.04807556 BTC,292.40 EUR,6082.00 EUR,0.74000 EUR,Sell
Market,"Aug. 28, 2018, 07:13 PM",Main Account,0.02066565 BTC,125.69 EUR,6082.00 EUR,0.32000 EUR,Sell
Market,"Aug. 28, 2018, 07:13 PM",Main Account,0.01128164 BTC,68.61 EUR,6082.00 EUR,0.18000 EUR,Sell
Market,"Sep. 05, 2018, 11:46 PM",Main Account,0.01454032 BTC,84.00 EUR,5777.00 EUR,0.21000 EUR,Buy
Market,"Sep. 05, 2018, 11:46 PM",Main Account,0.05545968 BTC,320.39 EUR,5777.00 EUR,0.81000 EUR,Buy
Market,"Sep. 06, 2018, 12:21 AM",Main Account,0.00267843 BTC,14.70 EUR,5488.00 EUR,0.04000 EUR,Buy
Market,"Sep. 06, 2018, 12:21 AM",Main Account,0.07187562 BTC,394.45 EUR,5488.00 EUR,0.99000 EUR,Buy
Market,"Sep. 21, 2018, 01:43 PM",Main Account,0.00267843 BTC,15.47 EUR,5777.00 EUR,0.04000 EUR,Sell
Market,"Sep. 21, 2018, 01:43 PM",Main Account,0.07187562 BTC,415.23 EUR,5777.00 EUR,1.04000 EUR,Sell
Market,"Sep. 25, 2018, 01:09 AM",Main Account,0.07490548 BTC,411.08 EUR,5488.00 EUR,1.03000 EUR,Buy
Market,"Sep. 27, 2018, 08:02 PM",Main Account,0.07490548 BTC,432.73 EUR,5777.00 EUR,1.09000 EUR,Sell
Market,"Oct. 07, 2018, 01:14 AM",Main Account,0.07780332 BTC,426.98 EUR,5488.00 EUR,1.07000 EUR,Buy
Market,"Oct. 07, 2018, 01:27 AM",Main Account,0.07780332 BTC,449.47 EUR,5777.00 EUR,1.13000 EUR,Sell
Market,"Oct. 07, 2018, 01:29 AM",Main Account,0.01454032 BTC,88.43 EUR,6082.00 EUR,0.23000 EUR,Sell
Market,"Oct. 07, 2018, 01:29 AM",Main Account,0.05545968 BTC,337.31 EUR,6082.00 EUR,0.85000 EUR,Sell
Market,"Oct. 07, 2018, 01:31 AM",Main Account,0.01549059 BTC,99.19 EUR,6403.00 EUR,0.25000 EUR,Sell
Market,"Oct. 07, 2018, 01:31 AM",Main Account,0.03650941 BTC,233.77 EUR,6403.00 EUR,0.59000 EUR,Sell
Market,"Oct. 10, 2018, 05:27 AM",Main Account,0.07000000 BTC,394.80 EUR,5640.00 EUR,0.99000 EUR,Buy
Market,"Oct. 10, 2018, 05:27 AM",Main Account,0.07875312 BTC,444.17 EUR,5640.00 EUR,1.12000 EUR,Buy
Market,"Oct. 11, 2018, 01:10 AM",Main Account,0.07000000 BTC,384.16 EUR,5488.00 EUR,0.97000 EUR,Buy
Market,"Oct. 15, 2018, 06:46 AM",Main Account,0.06997598 BTC,404.25 EUR,5777.00 EUR,1.02000 EUR,Sell
Market,"Oct. 15, 2018, 06:46 AM",Main Account,0.00002402 BTC,0.14 EUR,5777.00 EUR,0.01000 EUR,Sell
Market,"Oct. 29, 2018, 12:37 PM",Main Account,0.07253313 BTC,398.06 EUR,5488.00 EUR,1.00000 EUR,Buy
Deposit,"Nov. 30, 2018, 10:00 AM",Main Account,1000.00 EUR,,,,
Market,"Nov. 30, 2018, 09:44 PM",Main Account,0.04000000 BTC,138.24 EUR,3456.00 EUR,0.35000 EUR,Buy
Market,"Dec. 01, 2018, 10:50 AM",Main Account,0.04000000 BTC,145.52 EUR,3638.00 EUR,0.37000 EUR,Sell
Market,"Dec. 02, 2018, 05:01 AM",Main Account,0.05000000 BTC,181.90 EUR,3638.00 EUR,0.46000 EUR,Buy
Market,"Dec. 03, 2018, 02:15 AM",Main Account,0.05000000 BTC,172.80 EUR,3456.00 EUR,0.44000 EUR,Buy
Market,"Dec. 04, 2018, 06:02 AM",Main Account,0.04000000 BTC,131.32 EUR,3283.00 EUR,0.33000 EUR,Buy
Market,"Dec. 04, 2018, 06:43 AM",Main Account,0.04000000 BTC,138.24 EUR,3456.00 EUR,0.35000 EUR,Sell
Market,"Dec. 04, 2018, 06:44 AM",Main Account,0.05000000 BTC,181.90 EUR,3638.00 EUR,0.46000 EUR,Sell
Market,"Dec. 04, 2018, 10:27 AM",Main Account,0.05000000 BTC,172.80 EUR,3456.00 EUR,0.44000 EUR,Buy
Market,"Dec. 05, 2018, 04:54 PM",Main Account,0.05000000 BTC,164.15 EUR,3283.00 EUR,0.42000 EUR,Buy
Market,"Dec. 06, 2018, 11:38 PM",Main Account,0.00995639 BTC,31.04 EUR,3118.00 EUR,0.08000 EUR,Buy
